Designator,Mid X,Mid Y,Rotation,Layer
C1,104.4249,-111.3148,270.0,top
C2,105.9489,-111.3148,270.0,top
C3,111.9941,-111.3148,270.0,top
C4,113.4872,-111.3148,270.0,top
C5,112.7372,-113.538,0.0,top
C6,107.7588,-108.712,0.0,top
C7,110.6812,-108.712,180.0,top
D1,115.0112,-114.288,270.0,top
J1,101.854,-105.3742,180.0,top
J2,108.951,-116.1288,90.0,top
J3,116.1288,-105.3742,0.0,top
R1,115.0112,-111.3148,90.0,top
R2,105.4295,-106.8712,180.0,top
R3,112.5025,-106.3712,0.0,top
RN1,108.866,-102.6046,180.0,top
U1,108.966,-112.0648,180.0,top
U2,108.966,-106.1212,90.0,top
